business_id,text,labels
N2JjNq_J80ufBFR80UMI5A,we really love it been there with my wife and kids  the food were so fresh and the taste was incredible from now on it is my favorite restaurant in tampa,positive
PMs7df27DC_OEvywsl-41w,so happy to have suya suya in the neighborhood the food was amazing and the owners are the nicest people ever i give them so much credit for opening a restaurant during the pandemic their hard work definitely paid off this is a great place for lunch or a casual nofuss dinner highly recommend,positive
vZlPeIEzNK2YkZhGcLxHOw,never ate african food or etrian food beforewhat a treat  i have eaten their twice now and is one of my favorite places in tucson  they have lamb dishes and i love the lentil dishesnot only is the food great but eating it is fun  when you go there you will find out what i meanmichael,positive
vI6LNgVz4cTGOQyfZ_0POA,large asian market with a diverse selection of itemsthe korean bul go gi meat i got was high quality for a pretty cheap pricehowever the best item was the roasted piglet they had for sale on sunday morning super crispy crunch skin with succulent melt in your mouth morsels of deliciousness upon eating the pork the only thing that came to mind is the scene from the istanbul episode of no reservations when the hostess asks anthony bourdain whether he has tried anything like what they were eating after a second's pause ab responds  yes  crack,positive
B9MAfqhVw1AxNzwu2ELPtQ,certified hidden gem the horn has been a great addition to murfreesboro pike serving light somali fare and coffee it's ran by a beautiful family that has been blessing nashville with somali food for a long time i highly recommend getting their sambusas featured in this pic they are triangular pockets of deliciousness stuffed with a filling and fried it's located about 510 minutes from downtown depends on traffic on murfreesboro pike it's always very clean there and the family is super friendly not to mention the food and coffee is extremely affordable honestly i think they should charge more other coffee shops easily charge double for what they offer here this might not be your hipster's favorite spot to write a novel but it's a great place to catch up with a friend over great food and coffee,positive
BjBDHqHhMXSxgyVipccznQ,very good food i recommend reservations two weddings slowed the service but the food was excellent seafood is the primary draw but limited beef and chicken dishes dress code was loose from sport coats to shorts,positive
1Vo4BLw75ntATAJHYsxO3g,went on a friday they were slammed got 2 appetizers 1 shrimp 1 calamari both really good went there at 530 happy hour  bar bill for 2 drinks  and 2 tap beers 1000 that's cheep there was a small problem cold outside where we were eating went inside sandwich order got lost talked to a manager they were  on it ended up with a credit for sandwich  groper which also was really good and gave me my sandwich to go they are all about customer service and definitely will be back thanks again,positive
S-VD26LE_LeJNx5nASk_pw,very good food i had delivery twice both times took a little longer than estimated time but very worth it the plantains are always perfect fried snapper winner  potato greens very good mine addition to upper darby,positive
Dq8xEHck5DugMQZVLDpwxA,glad i found this place friendly service and great coffee tea  smoothies  it's a nice coffee shop with a little taste of ethiopia i love culture and the feeling of entering somewhere not so typical they also have cake ice cream baklava  sambusa if you haven't tried the last two i recommend you do must try you'll enjoy it,positive
1Vo4BLw75ntATAJHYsxO3g,beautiful view little packed little priceya mojito is about 12 3 fish tacos 18 so a cheaper meal for 1 is about 45 plus tripon the water with a beautiful view which is nicepay for parking 2,positive
vZlPeIEzNK2YkZhGcLxHOw,all i can say iswow if you like good food this is a definite try  it is small and family owned the service was excellent  everyone was greeted as they entered and exited like you where an invited guest we had never eaten african food before and the flavors are out of this world  we started with the hot tea and it was very flavorful  fresh mint fresh like right off a plant brought to your table was offered and graciously accepted not a mistake there everything we ordered was served on a pizza type plate with injera as the base and all the meats and vegetables in separate piles  there is also a side of cut injera used to eat with  utensils are optional here and unless you know exactly what you ordered and how its supposed to look you're just going to have to go with the flow  there was not one item on that plate that did not stimulate the taste buds if you have picky kids like i do the pasta and meat sauce is a good option don't hesitate if you are considering this place you won't be disappointed,positive
YDisPepPeWeELiVGycxOlw,only came for drinks but enjoyed our time here there is touchtunes which is nice but also felt too quiet when people weren't playing anything nice to have some music on in the background pretty good beer selection  including some draft options and lots of bottles i'd like to come back for food and maybe try one of the ethiopian beers,positive
1Vo4BLw75ntATAJHYsxO3g,once again because my son who is in love with the coconut rum wings we were back at whiskey joe's to further explore the menu  we started with the so addictive wings since hubby is out of town for business we decided to enjoy a little mom and son time with a good meal  i decided to order the strictly off the appetizer section on the menu because i notice a few eye catching dishes that caught my last time and i was was happy with both choices and my son ordered mac and cheese with grilled shrimp addedmy appetizer choices consisted of shrimp   sausage quesadilla and joe's rocking oysters the oysters were filled a great cornbread stuffing that was filled with corn andouille sausage crabmeat and pepper jack cheese i could barely taste the crab but the freshness of the oysters was excellent and the overall taste of the dish was delicious just wish i could of tasted a little more crab  the shrimp  sausage quesadilla was full of flavor and i would definitely order both appetizers again  my son was like mom this mac and cheese is great next time i want to add crab to it to kick it up another notch yes we watch food network together lo but seriously everytime we come to whiskeys joe's the service is great our food is fresh and we are never disappointed   we had an awesome time,positive
oYvjtszgXo5x45d6fa6y2g,this place was really different from any other place that i've eaten  i have minimal experience with african food only ethiopian eritrean and moroccan  this place was very different  the food we got here was fairly diversethe sauce item we ordered okra was saucy and stewlike and outstanding and the other item we got was a grilled shrim thing with grilled green peppers and raw onions that had been marinated in some kind of sauce  we had sides of plantain and couscous mixed with cassavai liked everything we hadportions here are very large  many of the items that cost around 812 could easily feed two people  we took a lot of food homeservice was also very good  i would heartily recommend this place especially for people who are interested in trying something genuinely new,positive
B9MAfqhVw1AxNzwu2ELPtQ,i've been going to this place for almost 3 years now best place to eat breakfast  have some relaxing time with a nice coffee the staff are very friendly you don't get to wait long to get what you need they have nice somali tea sombosa bahamri  gyro,positive
ziyXteCmNmRprs10buP2iQ,one of my favorite restaurants in philly and a definite must if you're looking for west african cuisine i've been to kilimanjaro a handful of times and have never been disappointed portions are big fresh and incredibly savory last i went i ordered the fish  whole  head bones and all and rice the fish was fried but can also be grilled with a delicious sauce and marinated onions the bf ordered senegalese chicken and couscous which came with stewed veggies we were stuffed beyond belief two orders is probably enough to feed 3 seriously do yourselves a favor and try this place out,positive
ziyXteCmNmRprs10buP2iQ,amazing food the staff is great the space is small and seating is limited so i've always done take out the make everything to order so it does take a while but definitely worth it,positive
lYMJ_lraMXqKPJycdD3_7Q,the menu offers a wide variety of mouthwatering african dishes as well as few african desserts being this was not my first time purchase from kings  queens and i had the opportunity to try various dishes as i enjoy every dish that i have try i especially love the achike and fish accompanied by a side of delicious golden ripe plantains fresh and well season vegetables as well as there authentic pepper sauce while my server was incredibly kind and accommodating  i appreciated timely manner of my food being deliver as a whole i truly enjoy my experience when ordering from king  queen african cuisine,positive
